id,sport,level,cat1,cat2,cat3,cat4,cat5
"""1""","""1""","""1""","""Absoluter Anfaenger: Noch nie wirklich gespielt""","""Absoluter Anfaenger: Noch nie wirklich gespielt ""","""Absoluter Anfaenger: Noch nie wirklich gespielt""","""Absoluter Anfaenger: Noch nie wirklich gespielt""","""Absoluter Anfaenger: Noch nie wirklich gespielt"""
"""2""","""1""","""2""","""Anfaenger: Aufschlag nur von unten""","""Anfaenger: kann den Ball in der Luft halten - (nur wenig Kontrolle wohin der Ball fliegt)""","""Anfaenger: nutzt nur Bagger Technik - kann den Ball in der Luft halten (ohne gezielte Zuspielrichtung) ""","""Anfaenger: bringt den Ball ueber's Netz""","""Anfaenger: springt ohne wirklichen Block zu stellen -                                  Abwehr gelingt eher zufaellig, wenn der Ball direkt auf den Koerper trifft"""
"""3""","""1""","""3""","""Besserer Anfaenger: gezielter Aufschlag von Unten (mit der Hand oder dem Unterarm)""","""Besserer Anfaenger: Bagger mit wenig Beinarbeit ( noch eher statisch)""","""Besserer Anfaenger: kann im Bagger in eine Richtung zuspielen""","""Besserer Anfaenger: kann den Ball bereits mit einer einfachen Schlagtechnik von oben ueber's Netz bringen""","""Besserer Anfaenger: richtiges Timing & Greifen, reicht gut in die H_he nach dem Ball - Abwehr - kann den gegenerischen Angreifer schon etwas lesen"""
"""4""","""1""","""4""","""Durchschnitt: beherrscht den Aufschlag von Oben""","""Durchschnitt: Bagger mit Kontrolle (kann in eine gewuenschte Richtung baggern)""","""Durchschnitt: Zuspiel zum Partner erfolgt nah zur eigenen Position und noch ohne Genauigkeit""","""Durchschnitt: beherrscht bereits den Schlag aus einem leichten Sprung (ohne klare Richtung), beherrscht auch den Poke shot""","""Durchschnitt: kann erfolgreich blocken, wenn der Ball auf der Netzkante ist -  gute Abwehr durch Erlaufen (schnelle Bewegung) """
"""5""","""1""","""5""","""Guter Durchschnitt: Aufschlag von Oben auf Ziel - Flatteraufschlag""","""Guter Durchschnitt: Bagger mit richtiger Beinarbeit & guter Technik (kann den Ball gut kontorllieren)""","""Guter Durchschnitt: Kann sowohl im oberen als auch im unteren Zuspiel einen Pass spielen""","""Guter Durchschnitt: kann den Ball im Sprung ueber's Netz, auf ein Ziel schlagen (einfache shots & cut shots)""","""Guter Durchschnitt: richtiges Timing in Block und Abdecken einer Richtung -        Abwehr ist schwer zu sehen, wartet lange und antizipiert gut (beherrscht Tomahawk) """
"""6""","""1""","""6""","""Fortgeschritten: beherrscht (bereits) verschiedene Aufschlagtechniken (Float & Rotations- aufschlag im Stand) ""","""Fortgeschritten: Zuspiel und Annahme Technik erfolgen aus der Bewegeung und auf Ziel (gute Kontrolle des Balles) ""","""Fortgeschritten: beherrscht beide Techniken,kann  oberes Zuspiel sowohl nach vorne und ueber Kopf nach hinten stellen""","""Fortgeschritten: schlaegt den Ball bereits mit Kraft ueber's Netz (in Anlaufrichtung/gerade), beherrscht shots und cut shots""","""Fortgeschritten: gute Reichh_he bzw. Greifen zum Ball, nutzt fake block -           gutes und schnelles Stellungsspiel in der Abwehr, beherrscht alle Abwehrtechniken (spricht sich mit dem Partner ab) """
"""7""","""1""","""7""","""Sehr Fortgeschritten : Aufschlag von Oben - als Flatter oder Rotationsvariante (trainiert,spielt mind.2 mal die Woche)""","""Sehr Fortgeschritten : kann verschiedene Techniken richtig einsetzen (seitlich oder lang ueber Kopf) und sehr genau baggern""","""Sehr Fortgeschritten : oberes und unteres Zuspiel mit Praezision auf alle Positionen zum Partner""","""Sehr Fortgeschritten : Angriff erfolgt mit Kraft ueber's Netz und auf Ziel (kann Richtung aendern), gute Sprung / Schlag Koordination ""","""Sehr Fortgeschritten : Absprache und Anzeige mit dem Partner, spielt mit Block- Abwehrtaktik und Einstellung auf den Gegner, kann schnell Umschalten und nach Blockberuehrung selbst zuspielen"""
"""8""","""1""","""8""","""Halb Professionell : beherrscht alle Basis -Aufschlagtechniken & Sprungaufschlag ""","""Halb Professionell : baggert sauber auf den Punkt, beherrscht verschiedene Techniken und Bewegungsablaeufe ""","""Halb Professionell : beherrscht alle Zuspieltechniken sowohl nach vorn als auch ueber Kopf (nach hinten)""","""Halb Professionell : beherrscht alle Angriffstechniken,kann auch ueber die Schulter schlagen und sieht die gegnerische Abwehr (gute Handlungshoehe)""","""Halb Professionell : spezialisiert auf Block und Abwehrposition (gute Reichh_he bzw. bewegt sich variable und schnell in der Abwehr) """
"""9""","""1""","""9""","""Pro: harter Sprungaufschlag und genaue Flatteraufschlaege auf Ziel""","""Pro: behrrscht alle Varianten der Annahme und des unteren Zuspiels & hat sehr gutes Stellungsspiel""","""Pro: kann alle Zuspieltechniken (oberes & unteres Zuspiel) zum Partner von allen Positionen effektiv einsetzen""","""Pro: kann alle Angriffstechniken im Spiel auf hohem Niveau abrufen und kann auf den Ruf des Partners reagieren und mit hoher Praezision auf Ziel schlagen""","""Pro: auf Block oder Abwehr spezialisiert, aber auch sehr gut im anderen Element, sehr effektiv als Block bzw. Abwehrspieler mit hoher Erfolgsquote (beherrscht alle Techniken)"""
"""10""","""1""","""10""","""Meister: kann alle Techniken variable, sehr hart und platziert einsetzen""","""Meister: fast perfekt in der Annahme - wenig Fehlerpunkte im unteren Zuspiel (sehr gute Kontrolle und Genauigkeit im Bagger) ""","""Meister: absolut variabel und extrem sauber in der Ausfuehrung, Kombinationsspiel moeglich, Zuspiel zum Partner immer auf den Punkt  und ohne Fehler""","""Meister: absolut variabel im Angriff mit hoher Erfolgsquote im side out - kann pro tour spielen""","""Meister: extrem hohe Erfolgsquote in Block & Abwehr, kann sich sehr gut auf den Partner und das Spiel des Gegeners einstellen, moeglicher Spieler auf einer pro tour"""
