id,sport,level,cat1,cat2,cat3,cat4,cat5
"""1""","""Beach Volleyball""","""1""","""hardly ever played before - absolute beginner""","""hardly ever played before - absolute beginner""","""absolute beginner""","""hardly ever played before - absolute beginner""","""hardly ever played before - absolute beginner"""
"""2""","""Beach Volleyball""","""2""","""only service from below - beginner""","""keeping the ball in the air- beginner""","""only digging - keeping ball up in the air - beginner""","""bringing the ball over the net - beginner""","""jumps without reaching - defense only when ball on the body - beginner"""
"""3""","""Beach Volleyball""","""3""","""precise service from below with underarm or hand - on target - good beginner""","""digging with right leg movement - good beginner""","""setting ability in one direction - good beginner""","""bringing the ball over the net with easy hidding technique ability - good beginner""","""right reaching & timing in block - ability to read opponent - good beginner"""
"""4""","""Beach Volleyball""","""4""","""able to serve overhead - intermediate""","""digging with control - intermediate""","""setting around own position for the partner - intermediate""","""jump & smashing coordination - intermediate""","""run and defence dig - block if ball is on the net - intermediate"""
"""5""","""Beach Volleyball""","""5""","""overhead service on target - float - good intermediate""","""digging with control and right leg movement - good intermediate""","""setting and digging technique ability - good intermediate""","""hitting over net on target - good intermediate""","""right timing in block and defense - knowledge and signing for the partner - good intermediate"""
"""6""","""Beach Volleyball""","""6""","""overhead serve ability - float and rotation / spin - advanced""","""Set and digging technique to target - advanced""","""settings front and overhead - advanced""","""hitting over net with power - advanced""","""good reach or fake block - good positioning and fast in defense - advanced"""
"""7""","""Beach Volleyball""","""7""","""different overhead serve varieties like float and top spin on target - Semi Pro - great advanced""","""different digging techniques (side and long over head) to target - great advanced""","""setting and digging technique for partner - front and overhead - great advanced""","""hitting over net with power and on target - great advanced""","""block with right signing to partner - right timing and reach"" - with defense ability - great advanced"""
"""8""","""Beach Volleyball""","""8""","""jump and float serve technics and very precise float on target - semi pro""","""clean passing on point various techniques - semi pro""","""setting from all positions to the partner - semi pro""","""all hitting techniques - seeing the opponents defense positions, over shoulder hit - semi pro""","""specialist on block or defense - semi pro"""
"""9""","""Beach Volleyball""","""9""","""powerful jump service, jump - float and very precise float - pro""","""controlled passing on point all techniques and movements - pro""","""all setting and digging techniques to all positions front & overhead - pro""","""all hitting techniques at high performance game level - ability to listen to partner calls and spiking on target - pro""","""specialist on block or defense and very good in the second element - pro"""
"""10""","""Beach Volleyball""","""10""","""mastering all kinds of serves - very hard driven and placed - pro champ""","""mastering all kinds of passing - pro champ""","""mastering all kinds of settings on the point - no mistake stats - pro champ""","""mastering all kinds of hitting - techniques and with absoulte high quota on the side out - pro champ""","""mastering all kinds of block & defense - pro champ"""
"""11""","""Tennis""","""1""","""hardly ever played before - absolute beginner""","""hardly bringing the ball back over the net - absolute beginner""","""no volley - absolute beginner""","""able to hit the ball somehow - absolute beginner""","""able to hit the ball somehow - absolute beginner"""
"""12""","""Tennis""","""2""","""only from below - easy over the net - beginner""","""return of serves that are slow and have no spin - beginner""","""hitting easy volleys - beginner""","""able to keep the ball in play with forehand - beginner""","""able to keep the ball in play with backhand shots - beginner"""
"""13""","""Tennis""","""3""","""overhead flat over the net - good beginner"" ","""controlled flat serve return over the net - good beginner""","""controlled volley of high and slower balls - good beginner""","""controlled and long easy forehand shots - good beginner""","""controlled and long easy backhand shots - good beginner"""
"""14""","""Tennis""","""4""","""safe overhead - controlled direction - mostly flat serve - low mistake stats - intermediate""","""returning of slow serves with a lot of drive/slice/spin - intermediate""","""with back spin - intermediate""","""differentiation and use of top spin and slice with forehand shots - intermediate""","""differentiation between slice and top spin backhand shots - intermediate"""
"""15""","""Tennis""","""5""","""flat with jump - able to serve on target - good intermediate""","""able to block serves and return into a direction - good intermediate""","""successful forehand volley quota - good intermediate""","""able to perform flat, slice and forehand lob - good intermediate""","""able to perform top spin, slice and backhand lob - good intermediate"""
"""16""","""Tennis""","""6""","""hard flat serve with jump - using tactics - advanced""","""block of fast serves - return stop - advanced""","""high and low volleys, ability to use forehand volley in the right moment - advanced""","""ability to play forehand winner - safe ground line play, practices regularly - advanced""","""ability to play backhand winner - safe ground line play, practices regularly - advanced"""
"""17""","""Tennis""","""7""","""hard and precised, strong and safe flat or top spin serve - high 2nd serve quota - rare double faults - great advanced""","""controlled return techniques - with focus & directions - great advanced""","""right movement and positioning, ability to use forehand and backhand volley in the right moment - great advanced""","""strong forehand with good preparation to attack, effective lob - plays min. twice a week - great advanced""","""strong backhand with good preparation to attack, effective lob - plays min. twice a week - great advanced"""
"""18""","""Tennis""","""8""","""able to do all kinds of serves - flat and kick serves - higher 2nd serve quota - semi pro""","""chip and charge ability - good return quota - semi pro""","""good and quick leg work - able to execute and control backhand slice and drive volley mainly forehand- semi pro""","""precise use of all kinds of forehand techniques - hard line shots and high quota of forehand returns - plays also tournaments - semi pro""","""precise use of all kinds of backhand techniques - hard line shots and high quota on backhand returns - plays also tournaments - semi pro"""
"""19""","""Tennis""","""9""","""does all kinds of serves - especially kick serve - high 1st serve quota - pro""","""precise return of fast serves - able to execute chip and charge - pro""","""quick reaction at cross or longline shots - able to execute volley stop and drive volley - pro""","""always precise shots and a variation of direction, almost perfect movement and positioning - plays passing shots from fast an precise attacks - forehandhand winner - pro""","""always precise shots and a variation of direction, almost perfect movement and positioning - plays passing shots from fast an precise attacks - backhand winner - pro"""
"""20""","""Tennis""","""10""","""mastering all kind of serves - pro champ""","""mastering returns - all kinds of for- and backhand returns / controlling and returning very hard and placed serves - pro champ""","""mastering volleys - for- and backhand - pro champ""","""mastering forehand play - almost perfect and able to use techniques for winning tactic - tour player - high quota on ground line play winners - pro champ""","""mastering backhand play - almost perfect and able to use techniques for winning tactic - tour player - high quota on ground line play winners - pro champ"""
"""21""","""Volleyball""","""1""","""hardly ever played before - absolute beginner""","""""","""""","""""",""""""
